127.0.0.1 - - [07/Jun/2017:22:22:29 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:46 +0530] "GET /EducationPortal/ HTTP/1.1" 200 3630
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:47 +0530] "GET /EducationPortal/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:47 +0530] "GET /EducationPortal/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:47 +0530] "GET /EducationPortal/js/jquery-1.4.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:47 +0530] "GET /EducationPortal/js/cufon-yui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:47 +0530] "GET /EducationPortal/js/cufon-replace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:47 +0530] "GET /EducationPortal/js/Myriad_Pro_300.font.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:47 +0530] "GET /EducationPortal/js/Myriad_Pro_400.font.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:47 +0530] "GET /EducationPortal/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:47 +0530] "GET /EducationPortal/images/2page-img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:47 +0530] "GET /EducationPortal/images/tail-middle.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:47 +0530] "GET /EducationPortal/images/header-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:47 +0530] "GET /EducationPortal/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:48 +0530] "GET /EducationPortal/images/divider.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:48 +0530] "GET /EducationPortal/images/m1-act.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:48 +0530] "GET /EducationPortal/images/divider1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:48 +0530] "GET /EducationPortal/images/marker.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:48 +0530] "GET /EducationPortal/images/newsletter-bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:48 +0530] "GET /EducationPortal/images/banner-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:48 +0530] "GET /EducationPortal/images/footer-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:22:22:48 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
